"Country","Virus Name","Submitted"
"Burkina Faso","hCoV-19/Burkina Faso/CHUSS_13325/2022","2022-02-17"
"Honduras","hCoV-19/Honduras/486426-ICGES/2021","2022-02-16"
"Montserrat","hCoV-19/Montserrat/120972/2022","2022-02-16"
"Anguilla","hCoV-19/Anguilla/121645/2022","2022-02-16"
"Sudan","hCoV-19/Rwanda/NRL/EK0701895/2021","2022-02-14"
"Luxembourg","hCoV-19/Luxembourg/LNS2999288/2022","2022-02-14"
"Malta","hCoV-19/Malta/MDxMDHO159/2022","2022-02-11"
"Eswatini","hCoV-19/Eswatini/N28415/2021","2022-02-11"
"Iraq","hCoV-19/Iraq/DCPHL_12/2021","2022-02-10"
"Latvia","hCoV-19/Latvia/3798264/2021","2022-02-09"
"Hungary","hCoV-19/Hungary/mbl_00176/2022","2022-02-07"
"Uganda","hCoV-19/Uganda/GUMRL-GU09179/2022","2022-02-07"
"Saudi Arabia","hCoV-19/Saudi Arabia/KFSHRC_0106I/2021","2022-02-03"
"Zimbabwe","hCoV-19/Zimbabwe/CERI-KRISP-K034197/2021","2022-02-02"
"Saint Vincent and the Grenadines","hCoV-19/Saint Vincent and the Grenadines/115228/2022","2022-02-02"
"Saint Lucia","hCoV-19/Saint Lucia/119434/2022","2022-02-02"
"Tanzania","hCoV-19/Rwanda/NRL-BK31412/2021","2022-02-01"
"Burundi","hCoV-19/Rwanda/NRL-EK0545499/2021","2022-02-01"
"Mali","hCoV-19/Rwanda/NRL-EK0284615/2021","2022-02-01"
"Bermuda","hCoV-19/Bermuda/WR-NYGC-DEC-6145-VMGT561/2021","2022-01-26"
"Egypt","hCoV-19/Egypt/CPHL-EGY21041/2021","2022-01-25"
"Armenia","hCoV-19/Armenia/IMB17-16/2022","2022-01-24"
"United Arab Emirates","hCoV-19/United Arab Emirates/OH-PLMI-HH57F-07354/2022","2022-01-22"
"British Virgin Islands","hCoV-19/British Virgin Islands/113551/2021","2022-01-21"
"Saint Kitts and Nevis","hCoV-19/Saint Kitts and Nevis/115428/2022","2022-01-18"
"Barbados","hCoV-19/Barbados/113705/2021","2022-01-11"
"Kazakhstan","hCoV-19/Kazakhstan/2833/2021","2022-01-10"
"Azerbaijan","hCoV-19/Azerbaijan/MHTM-A2/2022","2022-01-10"
"Gibraltar","hCoV-19/Gibraltar/EXP_20122021-1611287-83/2021","2021-12-22"
"Panama","hCoV-19/Panama/SEQ773/2021","2021-12-20"
"Sierra Leone","hCoV-19/Sierra Leone/CPHRL_SEQ_21_297/2021","2021-12-14"
