"Country","Virus Name","Submitted"
"Haiti","hCoV-19/Haiti/27711/2021","2021-06-11"
"Wallis and Futuna Islands","hCoV-19/Wallis and Futuna/HCL021099348801/2021","2021-06-10"
"Bermuda","hCoV-19/Bermuda/51483/2020","2021-06-10"
"Anguilla","hCoV-19/Anguilla/60301/2021","2021-06-10"
"Central African Republic","hCoV-19/Central African Republic/24494/2021","2021-05-26"
"Faroe Islands","hCoV-19/Faroe Islands/HFS-202/2021","2021-05-20"
"Azerbaijan","hCoV-19/Azerbaijan/Aghayev-11/2021","2021-05-19"
"Guinea-Bissau","hCoV-19/Guinea Bissau/45LNSPGB/2021","2021-05-18"
"Equatorial Guinea","hCoV-19/Equatorial Guinea/93096/2021","2021-04-22"
"Hungary","hCoV-19/Hungary/7386_27/2021","2021-04-02"
"Mauritius","hCoV-19/Mauritius/N2021/2021","2021-03-09"
